ja,n,jp,s,sc,madm,mev,mabs,nro,nmate,lm,nlm,h,sp
AR,,,,,9.49,,,,,,,"<b>COLEGIUL NAŢIONAL ""PREPARANDIA-DIMITRIE ŢICHINDEAL"" ARAD</b><br/>Real/Liceal/Zi",<b>(123) Matematică-Informatică</b><br/>Limba română
AR,,,,,8.85,,,,,,,"<b>COLEGIUL NAŢIONAL ""PREPARANDIA-DIMITRIE ŢICHINDEAL"" ARAD</b><br/>Umanist/Liceal/Zi",<b>(122) Filologie</b><br/>Limba română
AR,,,,,8.52,,,,,,,"<b>LICEUL TEOLOGIC BAPTIST ""ALEXA POPOVICI"" ARAD</b><br/>Real/Liceal/Zi",<b>(182) Ştiinţe ale Naturii</b><br/>Limba română
AR,,,,,6.60,,,,,,,"<b>LICEUL TEORETIC ""MIHAI VELICIU"" CHISINEU-CRIS</b><br/>Umanist/Liceal/Zi",<b>(196) Filologie</b><br/>Limba română
AR,,,,,7.88,,,,,,,"<b>LICEUL TEORETIC ""MIHAI VELICIU"" CHISINEU-CRIS</b><br/>Real/Liceal/Zi",<b>(197) Matematică-Informatică</b><br/>Limba română
AR,,,,,6.29,,,,,,,"<b>LICEUL TEORETIC ""MIHAI VELICIU"" CHISINEU-CRIS</b><br/>Real/Liceal/Zi",<b>(198) Ştiinţe ale Naturii</b><br/>Limba română
AR,,,,,5.46,,,,,,,<b>LICEUL TEHNOLOGIC CHIŞINEU CRIŞ</b><br/>Servicii/Liceal/Zi,<b>(148) Economic</b><br/>Limba română
AR,,,,,3.34,,,,,,,<b>LICEUL TEHNOLOGIC CHIŞINEU CRIŞ</b><br/>Tehnic/Liceal/Zi,<b>(149) Mecanică</b><br/>Limba română
AR,,,,,4.87,,,,,,,<b>LICEUL TEHNOLOGIC CHIŞINEU CRIŞ</b><br/>Resurse naturale și protecția mediului/Liceal/Zi,<b>(150) Protecţia mediului</b><br/>Limba română
AR,,,,,5.72,,,,,,,"<b>LICEUL TEHNOLOGIC ""ION CREANGĂ"" CURTICI</b><br/>Real/Liceal/Zi",<b>(165) Ştiinţe ale Naturii</b><br/>Limba română
AR,,,,,3.65,,,,,,,"<b>LICEUL TEHNOLOGIC ""SAVA BRANCOVICI"" INEU</b><br/>Tehnic/Liceal/Zi",<b>(172) Electric</b><br/>Limba română
AR,,,,,4.65,,,,,,,"<b>LICEUL TEHNOLOGIC ""SAVA BRANCOVICI"" INEU</b><br/>Servicii/Liceal/Zi",<b>(174) Turism şi alimentaţie</b><br/>Limba română
AR,,,,,5.78,,,,,,,"<b>COLEGIUL ""MIHAI VITEAZUL"" INEU</b><br/>Servicii/Liceal/Zi",<b>(107) Comerţ</b><br/>Limba română
AR,,,,,6.69,,,,,,,"<b>COLEGIUL ""MIHAI VITEAZUL"" INEU</b><br/>Servicii/Liceal/Zi",<b>(108) Economic</b><br/>Limba română
AR,,,,,7.71,,,,,,,"<b>COLEGIUL ""MIHAI VITEAZUL"" INEU</b><br/>Umanist/Liceal/Zi",<b>(109) Filologie</b><br/>Limba română
AR,,,,,8.10,,,,,,,"<b>COLEGIUL ""MIHAI VITEAZUL"" INEU</b><br/>Real/Liceal/Zi",<b>(110) Matematică-Informatică</b><br/>Limba română
AR,,,,,4.87,,,,,,,"<b>COLEGIUL ""MIHAI VITEAZUL"" INEU</b><br/>Tehnic/Liceal/Zi",<b>(111) Mecanică</b><br/>Limba română
AR,,,,,6.45,,,,,,,"<b>COLEGIUL ""MIHAI VITEAZUL"" INEU</b><br/>Real/Liceal/Zi",<b>(112) Ştiinţe ale Naturii</b><br/>Limba română
AR,,,,,5.68,,,,,,,"<b>LICEUL ""ATANASIE MARIENESCU"" LIPOVA</b><br/>Umanist/Liceal/Zi",<b>(134) Filologie</b><br/>Limba română
AR,,,,,4.54,,,,,,,"<b>LICEUL ""ATANASIE MARIENESCU"" LIPOVA</b><br/>Real/Liceal/Zi",<b>(135) Matematică-Informatică</b><br/>Limba română
AR,,,,,3.43,,,,,,,"<b>LICEUL ""ATANASIE MARIENESCU"" LIPOVA</b><br/>Tehnic/Liceal/Zi",<b>(136) Mecanică</b><br/>Limba română
AR,,,,,3.50,,,,,,,"<b>LICEUL ""SEVER BOCU"" LIPOVA</b><br/>Servicii/Liceal/Zi",<b>(142) Comerţ</b><br/>Limba română
