ja,n,jp,s,sc,madm,mev,mabs,nro,nmate,lm,nlm,h,sp
AR,,,,,6.10,,,,,,,"<b>LICEUL ""SEVER BOCU"" LIPOVA</b><br/>Servicii/Liceal/Zi",<b>(140) Economic</b><br/>Limba română
AR,,,,,4.22,,,,,,,"<b>LICEUL TEORETIC ""JOZEF GREGOR TAJOVSKY"" NĂDLAC</b><br/>Real/Liceal/Zi",<b>(191) Matematică-Informatică</b><br/>Limba română
AR,,,,,5.15,,,,,,,"<b>LICEUL TEORETIC ""JOZEF GREGOR TAJOVSKY"" NĂDLAC</b><br/>Umanist/Liceal/Zi",<b>(193) Ştiinţe Sociale</b><br/>Limba română
AR,,,,,3.01,,,,,,,"<b>LICEUL TEORETIC ""JOZEF GREGOR TAJOVSKY"" NĂDLAC</b><br/>Umanist/Liceal/Zi",<b>(194) Ştiinţe Sociale</b><br/>Limba slovacă
AR,,,,,6.00,,,,,,,<b>LICEUL TEORETIC PÂNCOTA</b><br/>Umanist/Liceal/Zi,<b>(199) Filologie</b><br/>Limba română
AR,,,,,5.72,,,,,,,<b>LICEUL TEORETIC PÂNCOTA</b><br/>Real/Liceal/Zi,<b>(200) Matematică-Informatică</b><br/>Limba română
AR,,,,,2.20,,,,,,,<b>LICEUL TEORETIC SEBIŞ</b><br/>Servicii/Liceal/Zi,<b>(201) Economic</b><br/>Limba română
AR,,,,,6.45,,,,,,,<b>LICEUL TEORETIC SEBIŞ</b><br/>Umanist/Liceal/Zi,<b>(203) Filologie</b><br/>Limba română
AR,,,,,5.90,,,,,,,<b>LICEUL TEORETIC SEBIŞ</b><br/>Real/Liceal/Zi,<b>(204) Matematică-Informatică</b><br/>Limba română
AR,,,,,3.22,,,,,,,<b>LICEUL TEORETIC SEBIŞ</b><br/>Servicii/Liceal/Zi,<b>(205) Turism şi alimentaţie</b><br/>Limba română
AR,,,,,3.50,,,,,,,<b>LICEUL TEORETIC SEBIŞ</b><br/>Real/Liceal/Zi,<b>(206) Ştiinţe ale Naturii</b><br/>Limba română
AR,,,,,3.35,,,,,,,<b>LICEUL TEHNOLOGIC BELIU</b><br/>Servicii/Liceal/Zi,<b>(162) Economic</b><br/>Limba română
AR,,,,,2.05,,,,,,,<b>LICEUL TEORETIC CERMEI</b><br/>Real/Liceal/Zi,<b>(198) Ştiinţe ale Naturii</b><br/>Limba română
AR,,,,,2.40,,,,,,,"<b>LICEUL TEHNOLOGIC ""VASILE JUNCU"" MINIŞ</b><br/>Servicii/Liceal/Zi",<b>(161) Economic</b><br/>Limba română
